id,type,cycle,watering,seeds,maintenance,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,flowers,edible_fruit,poisonous_to_humans,poisonous_to_pets,dimension_min,dimension_max,attracts_squirrels,attracts_birds,attracts_bees,attracts_butterflies,attracts_hummingbirds,hardiness_min,hardiness_max,sunlight_simplified
140,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,182.88,182.88,False,False,False,False,False,6,6,Partial Shade
141,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,7,7,Partial Shade
142,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,457.2,457.2,False,False,False,False,False,5,5,Partial Shade
143,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,609.6,609.6,False,False,False,False,False,5,5,Partial Shade
144,Tree,Perennial,Average,1,Low,Moderate,True,True,False,False,False,False,Moderate,True,True,0,0,762.0,762.0,True,True,True,False,False,5,5,Partial Shade
145,Tree,Perennial,Average,1,Low,High,False,False,False,True,False,False,Moderate,True,False,0,0,1524.0,1524.0,False,False,False,False,False,4,4,Full Sun
146,Tree,Perennial,Average,1,Low,High,False,False,False,True,False,False,Moderate,True,False,0,0,1524.0,1524.0,False,False,False,False,False,4,4,Partial Shade
147,Tree,Perennial,Minimal,1,Low,High,False,False,False,True,False,False,Moderate,True,False,0,0,1524.0,1524.0,False,False,False,False,False,4,4,Partial Shade
148,Tree,Perennial,Average,1,Low,High,False,False,False,True,False,False,Moderate,True,False,0,0,1524.0,1524.0,False,False,False,False,False,4,4,Partial Shade
149,Tree,Perennial,Average,1,Low,High,False,False,False,False,False,False,Moderate,True,True,0,0,1524.0,1524.0,False,False,False,False,False,4,4,Partial Shade
150,Tree,Perennial,Average,1,Missing,High,True,False,False,False,False,False,Moderate,True,False,0,0,914.4,914.4,False,False,False,False,False,5,5,Partial Shade
151,Tree,Perennial,Average,1,Missing,Low,True,False,False,False,False,False,Moderate,True,False,0,0,914.4,914.4,False,False,False,False,False,5,5,Partial Shade
152,Tree,Perennial,Average,1,Low,Low,False,True,False,False,False,False,Moderate,True,False,0,0,609.6,609.6,False,False,False,False,False,4,4,Partial Shade
153,Tree,Perennial,Average,1,Low,Moderate,False,False,False,True,False,False,Moderate,True,False,0,0,1524.0,1524.0,True,True,True,False,False,3,3,Full Sun
154,Tree,Perennial,Frequent,1,Low,Moderate,False,False,False,False,False,False,Moderate,True,False,0,0,1524.0,1524.0,True,True,True,False,False,3,3,Partial Shade
155,Tree,Perennial,Average,1,Low,Moderate,False,False,False,False,False,False,Moderate,True,False,0,0,1524.0,1524.0,True,True,True,False,False,3,3,Partial Shade
